grid_id,A_lat,A_lon,B_lat,B_lon,C_lat,C_lon,D_lat,D_lon,centroid_lat,centroid_lon,mandal_name
TS_GRID_000001,17.31152996484193,78.64725127439837,17.319248404770228,78.64725127439837,17.319248404770228,78.65533611195545,17.31152996484193,78.65533611195545,17.31538918480608,78.65129369317691,Abdullapurmet
TS_GRID_000002,17.33468431183659,78.63108159928422,17.34240177872184,78.63108159928422,17.34240177872184,78.63916643684131,17.33468431183659,78.63916643684131,17.338543045279216,78.63512401806277,Abdullapurmet
TS_GRID_000003,17.257491817774312,78.63108159928422,17.257491817774312,78.63916643684131,17.24977078863071,78.63916643684131,17.24977078863071,78.63705047780935,17.25385447737227,78.63525590729131,Abdullapurmet
TS_GRID_000004,17.288372700994145,78.61491192417007,17.29609211282739,78.61491192417007,17.29609211282739,78.62299676172714,17.288372700994145,78.62299676172714,17.29223240691077,78.61895434294861,Abdullapurmet
TS_GRID_000005,17.373268398994977,78.59874224905592,17.380984241614815,78.59874224905592,17.380984241614815,78.606827086613,17.373268398994977,78.606827086613,17.377126320304896,78.60278466783444,Abdullapurmet
TS_GRID_000006,17.288372700994145,78.58257257394177,17.29609211282739,78.58257257394177,17.29609211282739,78.59065741149884,17.288372700994145,78.59065741149884,17.29223240691077,78.58661499272031,Abdullapurmet
TS_GRID_000007,17.272932906308416,78.7361844875262,17.272932906308416,78.74426932508328,17.26588949314724,78.74426932508328,17.265781260681152,78.74362738196798,17.269172728483944,78.74018148936894,Abdullapurmet
TS_GRID_000008,17.242049436404972,78.6715057870696,17.24977078863071,78.6715057870696,17.24977078863071,78.67959062462668,17.242049436404972,78.67959062462668,17.245910112517837,78.67554820584816,Abdullapurmet
TS_GRID_000009,17.357835738564614,78.71192997485498,17.357835738564614,78.72001481241205,17.355252700587684,78.72001481241205,17.35559291089606,78.71896446424122,17.355747923464527,78.71492102491933,Abdullapurmet
TS_GRID_000010,17.272932906308416,78.6715057870696,17.280652965445633,78.6715057870696,17.280652965445633,78.67959062462668,17.272932906308416,78.67959062462668,17.276792935877022,78.67554820584814,Abdullapurmet
TS_GRID_000011,17.29609211282739,78.63108159928422,17.303811200818828,78.63108159928422,17.303811200818828,78.63916643684131,17.29609211282739,78.63916643684131,17.29995165682311,78.63512401806275,Abdullapurmet
TS_GRID_000012,17.242049436404972,78.6715057870696,17.242049436404972,78.67959062462668,17.240327718487382,78.67959062462668,17.23990046264645,78.67860887574345,17.240488319636004,78.67507579953897,Abdullapurmet
TS_GRID_000013,17.388699759002787,78.68767546218375,17.396414951032686,78.68767546218375,17.396414951032686,78.69576029974083,17.388699759002787,78.69576029974083,17.392557355017736,78.69171788096229,Abdullapurmet
TS_GRID_000014,17.2652125237091,78.71192997485498,17.272932906308416,78.71192997485498,17.272932906308416,78.72001481241205,17.26523750682281,78.72001481241205,17.269072755062098,78.7159723517788,Abdullapurmet
TS_GRID_000015,17.34240177872184,78.63916643684131,17.350118921006626,78.63916643684131,17.350118921006626,78.64725127439837,17.34240177872184,78.64725127439837,17.34626034986423,78.64320885561983,Abdullapurmet
TS_GRID_000016,17.257491817774312,78.61491192417007,17.2652125237091,78.61491192417007,17.2652125237091,78.62299676172714,17.257491817774312,78.62299676172714,17.261352170741706,78.6189543429486,Abdullapurmet
TS_GRID_000017,17.357835738564614,78.72001481241205,17.357835738564614,78.72809964996912,17.351991495796295,78.72809964996912,17.35208120274676,78.72782787816752,17.35558918119777,78.72459098331836,Abdullapurmet
TS_GRID_000018,17.280652965445633,78.606827086613,17.288372700994145,78.606827086613,17.288372700994145,78.61491192417007,17.280652965445633,78.61491192417007,17.28451283321989,78.61086950539152,Abdullapurmet
TS_GRID_000019,17.257491817774312,78.5664028988276,17.2652125237091,78.5664028988276,17.2652125237091,78.5744877363847,17.257491817774312,78.5744877363847,17.26135217074171,78.57044531760616,Abdullapurmet
TS_GRID_000020,17.272932906308416,78.606827086613,17.280652965445633,78.606827086613,17.280652965445633,78.61491192417007,17.272932906308416,78.61491192417007,17.276792935877022,78.61086950539152,Abdullapurmet
TS_GRID_000021,17.2652125237091,78.70384513729789,17.272932906308416,78.70384513729789,17.272932906308416,78.71192997485498,17.2652125237091,78.71192997485498,17.269072715008758,78.70788755607643,Abdullapurmet
TS_GRID_000022,17.357835738564614,78.6715057870696,17.365552231269493,78.6715057870696,17.365552231269493,78.67959062462668,17.357835738564614,78.67959062462668,17.361693984917057,78.67554820584814,Abdullapurmet
TS_GRID_000023,17.2652125237091,78.58257257394177,17.272932906308416,78.58257257394177,17.272932906308416,78.59065741149884,17.2652125237091,78.59065741149884,17.269072715008758,78.58661499272031,Abdullapurmet
TS_GRID_000024,17.380984241614815,78.606827086613,17.380984241614815,78.59874224905592,17.388588167518062,78.59874224905592,17.38857587699039,78.59888036037646,17.384510668135288,78.60265616429727,Abdullapurmet
TS_GRID_000025,17.242049436404972,78.66342094951251,17.24977078863071,78.66342094951251,17.24977078863071,78.6715057870696,17.242049436404972,78.6715057870696,17.24591011251784,78.66746336829107,Abdullapurmet
TS_GRID_000026,17.380984241614815,78.59874224905592,17.380984241614815,78.59065741149884,17.388110808930346,78.59065741149884,17.38810662262268,78.59101806972605,17.38456538060909,78.59475284932209,Abdullapurmet
TS_GRID_000027,17.29609211282739,78.72809964996912,17.303811200818828,78.72809964996912,17.303811200818828,78.7361844875262,17.29609211282739,78.7361844875262,17.29995165682311,78.73214206874766,Abdullapurmet
TS_GRID_000028,17.319248404770228,78.65533611195545,17.326966520477256,78.65533611195545,17.326966520477256,78.66342094951251,17.319248404770228,78.66342094951251,17.323107462623742,78.65937853073397,Abdullapurmet
TS_GRID_000029,17.350118921006626,78.68767546218375,17.357835738564614,78.68767546218375,17.357835738564614,78.69576029974083,17.350118921006626,78.69576029974083,17.35397732978562,78.69171788096229,Abdullapurmet
